Location,DWML,TotalSed
NW,4.47,10.61
NW,3.04,9.56
NW,7.22,164.58
NW,4.48,25.03
NW,6.28,39.53
NW,4.21,16.39
NW,8.41,144.19
NW,5.92,2.58
NW,7.1,93.54
NW,5.37,20.64
NW,3.54,74.87
NW,5.89,76.22
NW,8.44,225.72
NW,4.66,48.32
NW,5.17,39.87
NW,7.23,156.43
NW,4.65,9.97
NW,4.48,4.21
NW,5.58,63.5
NE,4.7,8.79
NE,3.18,6.93
NE,6.67,72.07
NE,6.85,38.71
NE,6.85,128.71
NE,4.11,21.25
NE,5.61,25.56
NE,3.38,17.7
NE,6.77,47.61
NE,4.75,41.43
NE,5.46,54.37
NE,4.02,67.05
NE,3.16,54.73
NE,4.8,52.15
NE,7.79,86.54
NE,5,71.11
NE,5.19,9.67
NE,6.93,98.88
NE,4.99,4.32
NE,5.34,6.41
CENT,4.8,4.88
CENT,4,5.14
CENT,6.31,43.37
CENT,6.84,22.69
CENT,7,120.2
CENT,4.85,31.17
CENT,6.22,28.59
CENT,4.66,22.51
CENT,8.64,155.5
CENT,6.3,38
CENT,7.04,81.62
CENT,5.67,71.21
CENT,4.21,107.5
CENT,6.01,107.22
CENT,8.13,159.32
CENT,5.04,38.13
CENT,5.06,18.06
CENT,6.89,39.53
CENT,4.79,3.66
CENT,4.43,1.99
CENT,5.59,5.81
SW,4.82,10.23
SW,4.43,6.45
SW,5.72,30.4
SW,6.05,20.63
SW,5.83,60.85
SW,5.01,44.07
SW,8.12,94.35
SW,6.4,32.98
SW,5.28,62.23
SW,5.65,52.15
SW,4.65,37.14
SW,5.67,49.68
SW,7.37,140.93
SW,5.54,35.81
SW,5.04,12.1
SW,6.23,39.42
SW,4.64,4.18
SW,4.27,3.65
SE,5.79,10.7
SE,5.38,43.95
SE,4.24,99.05
SE,5,79.24
SE,3.76,25
SE,5.94,51.52
SE,4.65,59.6
SE,5.92,90.09
SE,6.04,119.2
SE,4.03,105.01
SE,3.95,58.85
SE,4.24,76.01
SE,6.31,163.06
SE,5.52,46.95
SE,4.94,13.42
SE,5.82,12.65
SE,4.96,1.63
